case_id,item_id
5,1
5,15
5,22
6,1
6,15
6,22
7,1
7,15
7,22
8,1
8,15
8,22
9,1
9,15
9,18
10,1
10,15
10,22
15,1
15,18
15,23
16,1
16,15
16,22
17,1
17,18
17,23
18,1
18,18
18,23
19,1
19,18
19,23
20,15
20,18
20,24
21,1
21,15
21,24
22,1
22,15
22,24
23,8
23,14
23,21
24,8
24,14
24,21
25,8
25,14
25,21
26,8
26,14
26,21
27,8
27,14
27,21
28,8
28,14
28,21
29,8
29,14
29,21
30,1
30,15
30,24
31,1
31,15
31,24
32,1
32,18
32,23
33,1
33,18
33,23
34,13
36,13
37,13
38,8
38,25
39,8
39,25
40,8
40,25
41,8
41,25
42,15
42,18
42,26
43,15
44,15
44,18
44,26
45,15
45,18
45,26
46,15
46,18
46,26
47,15
48,5
48,6
48,27
49,5
49,6
49,27
50,5
50,6
51,5
51,6
51,27
51,28
52,5
52,6
53,20
54,20
55,20
56,17
57,1
57,15
57,22
58,8
58,25
